"cowcode","location","asciiname","longitude","latitude","event_date","side","numreports","max_scope","max_partviolence","max_secengagement","mean_avg_numparticipants","any_accessible","blocked","ooni_ratio","ooni","ioda_number","ioda","physical","year","imf_democ_exp","imf_autoc_exp","imf_democ_imp","imf_autoc_imp","imf_democ_trade","imf_autoc_trade","All_NGO","Global_NGO","National_ngo","gdp","tourism","military","oil","oda","remittances","filter_cap","shut_cap"
"CU",3553478,"Havana",-82.38304,23.13302,2017-09-13,1,1,0,NA,NA,200,NA,NA,NA,NA,0,0,NA,2017,NA,NA,NA,NA,-46803421.7738095,-41524384.1272727,8,5,7,96850649691.7406,3302000000,2.87240323946139,0.457704950515475,0.769364451975586,NA,3,4
"CU",3553478,"Havana",-82.38304,23.13302,2019-05-11,1,3,0,NA,2,100,NA,NA,NA,NA,0,0,1,2019,7395910.72058824,8182751.53061225,66307549.3714286,39073283.68,-53059058.0384615,-25454251.7868852,9,6,9,103427600000,2645000000,NA,0.543713406970896,0.487995946601028,NA,3,4
"HT",3717588,"Saint-Marc",-72.69379,19.10819,2019-06-10,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3717588,"Saint-Marc",-72.69379,19.10819,2019-09-27,1,1,0,1,2,NA,NA,NA,NA,NA,0,0,1,2019,3223568.90909091,880491.25,13849097.7454545,29377271.1923077,-7955722.14492754,-14797294.6122449,4,1,3,15016090929.5125,NA,0.0820730320346067,0,4.61908741210381,17.9484096513974,0,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2016-09-12,1,1,0,NA,NA,100,NA,NA,NA,NA,0,0,NA,2016,2756286.71428571,638529,13038381.0322581,25666171.3913043,-8351757.38157895,-14215298.9,2,1,3,14069277526.2278,511000000,0.0482249983187593,0,7.59132140450641,15.8295930130992,1,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2016-11-21,1,1,0,NA,2,1000,NA,NA,NA,NA,0,0,1,2016,2756286.71428571,638529,13038381.0322581,25666171.3913043,-8351757.38157895,-14215298.9,2,1,3,14069277526.2278,511000000,0.0482249983187593,0,7.59132140450641,15.8295930130992,1,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2016-11-22,1,1,0,1,2,NA,NA,NA,NA,NA,0,0,1,2016,2756286.71428571,638529,13038381.0322581,25666171.3913043,-8351757.38157895,-14215298.9,2,1,3,14069277526.2278,511000000,0.0482249983187593,0,7.59132140450641,15.8295930130992,1,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2016-11-29,1,4,0,1,2,NA,NA,NA,NA,NA,0,0,1,2016,2756286.71428571,638529,13038381.0322581,25666171.3913043,-8351757.38157895,-14215298.9,2,1,3,14069277526.2278,511000000,0.0482249983187593,0,7.59132140450641,15.8295930130992,1,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2016-11-30,1,3,0,1,2,200,NA,NA,NA,NA,0,0,1,2016,2756286.71428571,638529,13038381.0322581,25666171.3913043,-8351757.38157895,-14215298.9,2,1,3,14069277526.2278,511000000,0.0482249983187593,0,7.59132140450641,15.8295930130992,1,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2017-03-20,1,2,0,NA,NA,200,NA,NA,NA,NA,0,0,NA,2017,NA,NA,NA,NA,-10101271.8961039,-15770576.5348837,3,1,3,15093357161.1498,460000000,0.0492694869004829,0,6.47610060865604,16.028014165291,1,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2017-03-21,1,1,0,NA,2,NA,NA,NA,NA,NA,0,0,1,2017,NA,NA,NA,NA,-10101271.8961039,-15770576.5348837,3,1,3,15093357161.1498,460000000,0.0492694869004829,0,6.47610060865604,16.028014165291,1,1
"HT",3718426,"Port-au-Prince",-72.33881,18.54349,2017-07-10,1,1,0,NA,NA,NA,5,0,0,0,0,0,NA,2017,NA,NA,NA,NA,-10101271.8961039,-15770576.5348837,3,1,3,15093357161.1498,460000000,0.0492694869004829,0,6.47610060865604,16.028014165291,1,1
